구분,업체명,연락처,주소,이메일,지점현황
1,㈜통일감정평가법인,02-719-7272,"서울 마포구 마포대로 34, 10층(도원빌딩)",tong1@kapaland.co.kr,"서울, 부산, 대구, 인천, 광주, 울산, 세종, 경기(수원, 평택, 성남, 용인, 고양, 부천, 남양주), 강원(춘천), 충북(청주), 충남(홍성), 전북(전주), 경북(구미), 경남(양산, 창원), 제주"
2,㈜가온감정평가법인,02-3460-4100,"서울 송파구 충민로 10, 가든파이브 툴 8층 S-33호(문정동)",gaon01@kapaland.co.kr,"서울, 부산, 대구, 인천, 광주, 대전, 울산, 경기(수원, 성남, 의정부), 강원(춘천), 충북(청주), 충남(천안), 전북(군산), 경남(창원), 제주"
3,㈜감정평가법인 감동,02-899-2444,"경기 광명시 새빛공원로 67 자이타워 C동 314호",gamdong01@kapaland.co.kr,"서울,경기(광명,남양주),강원도,인천,전남(나주),충남(아산)"
4,㈜감정평가법인 다우에셋,02-6409-3300,"서울 금천구 벚꽃로 254, 211호(가산동, 월드메르디앙1차)",dowasset@kapaland.co.kr,"서울,경기(의왕),경남(고성),충남(천안)"
5,㈜감정평가법인 대일감정원,02-2105-6500,"서울특별시 서초구 논현로 83, A동 2층(양재동, 삼호물산빌딩)",daeil1@kapaland.co.kr,"서울, 부산, 대구, 인천, 광주, 대전, 울산, 경기(안양, 성남, 고양), 강원(원주), 충북(청주), 충남(천안), 전북(전주), 경남(창원), 제주"
6,㈜감정평가법인 삼일,02-744-1601,"서울 송파구 송파대로 111, 하비오타워 205동 606호(파크하비오)",samil1@kapaland.co.kr,"서울, 부산, 대구, 인천, 대전, 울산, 경기(고양, 수원, 성남, 의왕), 강원(홍천), 충북(청주), 충남(천안), 전북(전주), 전남(순천), 경북(포항), 경남(진주, 창원), 제주"
7,㈜감정평가법인 이산,02-3476-0700,"서울 강남구 테헤란로25길 23, 3층(역삼동)",isan01@kapaland.co.kr,"서울,경기(안양,성남),경남(진주)"
8,㈜감정평가법인 정도,02-565-9302,"서울 금천구 벚꽃로 286, 7층 713호(리더스 타워)",jeongdo1@kapaland.co.kr,"서울,광주,경기(수원,고양),인천"
9,㈜감정평가법인 태백,02-6401-7923,"서울 서초구 법원로4길 31, 3층(서초동,태백빌딩)",tbapp01@kapaland.co.kr,"서울, 부산, 대구, 인천, 경기(안양, 성남, 이천), 강원(원주), 충북(청주), 충남(천안), 전남(나주), 경남(창원)"
10,㈜감정평가법인 정원,02-6203-4710,"서울 강남구 자곡로 174-10, 강남에이스타워 1003호",jungwon1@kapaland.co.kr,"서울,인천,경기(고양)"
11,㈜경일감정평가법인,02-2142-3800,"서울 송파구 중대로 135, IT벤처타워 동관 7층",kyungil1@kapaland.co.kr,"서울, 부산, 대구, 인천, 대전, 경기(수원, 성남, 의정부), 강원(춘천), 충북(청주), 충남(천안), 전북(전주), 전남(나주), 경남(창원), 제주"
12,㈜굿모닝감정평가법인,02-6331-1030,"서울 금천구 벚꽃로 278, SJ테크노빌 스페이스위즈비즈니스센터 609-134호",gmapp01@kapaland.co.kr,"서울,경기(안양),경남(창원),인천"
13,㈜나라감정평가법인,02-737-8871,"서울 종로구 사직로 130 적선현대빌딩 8층",nara1@kapaland.co.kr,"서울, 부산, 대구, 인천, 광주, 대전, 경기(수원, 성남, 고양), 강원(춘천), 충북(청주), 전북(전주), 경남(창원), 제주"
14,㈜대상감정평가법인,02-6949-0880,"서울 중구 동호로8길 13, 4층 401호",daesang2017@kapaland.co.kr,"서울,대구,경기(성남,구리),전남(나주)"
15,㈜대한감정평가법인,02-521-0077,"서울 송파구 충민로 10, 가든파이브툴동 10층 10-S13호",daehan1@kapaland.co.kr,"서울, 부산, 대구, 인천, 대전, 울산, 경기(성남, 고양, 수원), 강원(원주), 충북(청주), 충남(천안), 전북(익산), 전남(나주), 경남(창원), 제주"
